D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_297.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_297.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_297.jpg,0,0,0,4.438449E-05
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_368.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_368.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_368.jpg,0,0,0,3.315468E-05
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_438.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_438.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_438.jpg,0,0,0,5.529804E-05
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_510.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_510.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_510.jpg,0,0,0,4.239181E-06
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_582.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_582.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_582.jpg,0,0,0,7.774372E-05
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_654.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_654.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_654.jpg,0,0,0,0.0001002314
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_727.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_727.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_727.jpg,0,0,0,0.0001206238
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_797.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_797.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_797.jpg,0,0,0,0.0001409834
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_868.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_868.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_868.jpg,0,0,0,0.0001516959
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_54_59_940.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_54_59_940.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_54_59_940.jpg,0,0,0,0.0002422802
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_55_00_015.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_55_00_015.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_55_00_015.jpg,0,0,0,0.0002776074
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_55_00_084.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_55_00_084.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_55_00_084.jpg,0,0,0,0.0002871219
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_55_00_154.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_55_00_154.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_55_00_154.jpg,0,0,0,5.011927E-05
D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\center_2019_12_10_17_55_00_227.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\left_2019_12_10_17_55_00_227.jpg,D:\Documents - Data Drive\Oberlin\CSCI 374 - Machine Learning\ML Project\complex_training_2\IMG\right_2019_12_10_17_55_00_227.jpg,0,0,0,8.641114E-05
